epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5561.68,0.8164,0.6631,1.01405,0.99581,0.375,0.4503,0.21092,1.94298,1.43122,1.92111,0.000759318,0.000759318,0.000759318
57,5647.87,0.84126,0.67988,1.0572,0.9613,0.35,0.42839,0.20026,1.93853,1.38192,1.90068,0.000742815,0.000742815,0.000742815
58,5741.66,0.80762,0.68511,1.04962,0.96322,0.375,0.4312,0.19559,1.99674,1.28919,1.96157,0.000726312,0.000726312,0.000726312
59,5835.92,0.80616,0.66442,1.04344,0.96856,0.37272,0.43102,0.20353,2.01777,1.28901,1.91709,0.000709809,0.000709809,0.000709809
60,5933.04,0.84445,0.66471,1.02578,0.96817,0.4,0.43213,0.19033,2.08741,1.23426,1.95592,0.000693305,0.000693305,0.000693305
61,6004.89,0.81921,0.70912,1.04519,0.96775,0.4,0.43071,0.1795,2.10951,1.21281,2.00651,0.000676802,0.000676802,0.000676802
62,6031.38,0.82937,0.66693,1.03171,0.95197,0.47072,0.46292,0.18579,2.1158,1.21245,2.01524,0.000660299,0.000660299,0.000660299
63,6059.13,0.79074,0.66554,1.04736,0.93119,0.47015,0.45643,0.18991,2.06841,1.33524,2.00372,0.000643795,0.000643795,0.000643795
64,6087.11,0.79286,0.65302,1.00744,0.90738,0.475,0.45621,0.19605,2.1176,1.28894,2.11887,0.000627292,0.000627292,0.000627292
65,6125.77,0.74429,0.61849,1.0091,0.92325,0.475,0.45853,0.1934,2.13358,1.3115,2.1929,0.000610789,0.000610789,0.000610789
66,6215.2,0.76836,0.61489,1.01147,0.94782,0.475,0.46597,0.19786,2.02127,1.18467,2.11766,0.000594286,0.000594286,0.000594286
67,6309.77,0.73981,0.60619,0.97593,0.94513,0.425,0.45719,0.20828,1.97736,1.25163,2.04687,0.000577782,0.000577782,0.000577782
68,6342.04,0.75864,0.62288,1.02514,0.91768,0.425,0.45054,0.20254,1.93163,1.30262,2.01251,0.000561279,0.000561279,0.000561279
69,6371.52,0.81767,0.63232,1.05368,0.92116,0.40069,0.44369,0.20482,1.94534,1.31069,2.03684,0.000544776,0.000544776,0.000544776
70,6401.97,0.78296,0.60707,0.98288,0.90321,0.41686,0.42484,0.18909,1.90826,1.29797,2.00907,0.000528272,0.000528272,0.000528272
71,6431.83,0.78565,0.62281,1.04235,0.90022,0.425,0.42548,0.17912,2.03469,1.30727,2.08084,0.000511769,0.000511769,0.000511769
72,6463.42,0.75773,0.60191,1.00456,0.90328,0.4172,0.43324,0.19131,1.92864,1.32884,2.04645,0.000495266,0.000495266,0.000495266
73,6494.79,0.69186,0.55696,0.96653,0.96863,0.37357,0.43365,0.1971,1.90034,1.31683,2.03038,0.000478762,0.000478762,0.000478762
74,6568.99,0.74352,0.59907,1.00285,0.94418,0.398,0.43905,0.19946,1.98612,1.33002,2.03993,0.000462259,0.000462259,0.000462259
75,6601.71,0.64802,0.5552,0.93596,0.95546,0.325,0.40634,0.17957,2.0483,1.3347,2.15049,0.000445756,0.000445756,0.000445756
76,6633.27,0.67206,0.54749,0.95848,0.93546,0.375,0.41728,0.1763,2.05326,1.35482,2.19444,0.000429253,0.000429253,0.000429253
77,6663.78,0.65701,0.54121,0.95356,0.9263,0.43413,0.45233,0.18145,2.02784,1.34994,2.17406,0.000412749,0.000412749,0.000412749
78,6692.03,0.7211,0.56384,0.98401,0.96834,0.3701,0.44272,0.18468,2.01658,1.29166,2.12176,0.000396246,0.000396246,0.000396246
79,6719.9,0.69608,0.55555,0.99915,0.87928,0.39297,0.3985,0.17995,2.15392,1.29187,2.21948,0.000379743,0.000379743,0.000379743
80,6748.93,0.68688,0.54176,0.96847,0.87355,0.4,0.40104,0.17028,2.15132,1.31954,2.26091,0.000363239,0.000363239,0.000363239
81,6777.74,0.65762,0.51132,0.94859,0.89288,0.4,0.40842,0.17757,2.12975,1.25795,2.21728,0.000346736,0.000346736,0.000346736
82,6806.94,0.66002,0.55481,0.9588,0.92354,0.41577,0.45133,0.18584,1.9954,1.27591,2.05136,0.000330233,0.000330233,0.000330233
83,6835.51,0.70181,0.54736,0.96138,0.89038,0.425,0.45353,0.18322,1.99858,1.23814,2.04285,0.000313729,0.000313729,0.000313729
84,6864.03,0.61353,0.50834,0.94081,0.91935,0.39032,0.42206,0.17374,2.05577,1.16544,2.08581,0.000297226,0.000297226,0.000297226
85,6892.81,0.6617,0.53654,0.98317,0.94081,0.37253,0.42061,0.17357,2.06595,1.19332,2.10861,0.000280723,0.000280723,0.000280723
86,6921.18,0.61201,0.51189,0.93221,0.9692,0.4,0.45846,0.18818,2.01929,1.27489,2.05417,0.00026422,0.00026422,0.00026422
87,6949.81,0.64197,0.53662,0.98204,0.94365,0.39395,0.44972,0.19375,1.96861,1.34141,1.99067,0.000247716,0.000247716,0.000247716
88,6978.2,0.64798,0.5057,0.95258,0.90556,0.42962,0.45416,0.18432,1.97486,1.3469,1.98439,0.000231213,0.000231213,0.000231213
89,7039.84,0.63919,0.53566,0.94948,0.92421,0.42002,0.44793,0.17915,1.99109,1.32716,1.9862,0.00021471,0.00021471,0.00021471
90,7079.42,0.61027,0.49912,0.92954,0.87491,0.4,0.41018,0.17687,2.04406,1.35275,2.03579,0.000198206,0.000198206,0.000198206
91,7106.43,0.56213,0.51447,0.91057,0.87579,0.37832,0.41734,0.18748,2.07751,1.3755,2.04341,0.000181703,0.000181703,0.000181703
92,7134.47,0.58218,0.51935,0.90979,1,0.37357,0.45582,0.19698,2.01725,1.39325,1.9218,0.0001652,0.0001652,0.0001652
93,7161.16,0.56505,0.49565,0.87945,1,0.37068,0.464,0.19974,2.01601,1.39337,1.88882,0.000148696,0.000148696,0.000148696
94,7201.63,0.52607,0.50122,0.90771,0.94885,0.43905,0.47432,0.20356,2.03985,1.3221,1.88909,0.000132193,0.000132193,0.000132193
95,7231.02,0.50596,0.47873,0.87456,0.40916,0.425,0.45697,0.20233,2.05328,1.32046,1.91968,0.00011569,0.00011569,0.00011569
96,7261.41,0.54606,0.4821,0.90379,0.92929,0.425,0.44151,0.19743,2.03337,1.3243,1.94626,9.91865e-05,9.91865e-05,9.91865e-05
97,7291.15,0.50156,0.4477,0.88922,0.93916,0.425,0.44093,0.19306,2.03533,1.32529,1.9584,8.26832e-05,8.26832e-05,8.26832e-05
98,7320.91,0.48214,0.46963,0.87378,0.9282,0.4,0.44103,0.19092,2.02954,1.34081,1.97657,6.61799e-05,6.61799e-05,6.61799e-05
99,7350.8,0.5102,0.47276,0.89095,0.94427,0.39865,0.43487,0.18886,2.02042,1.3727,1.97226,4.96766e-05,4.96766e-05,4.96766e-05
100,7380.28,0.44603,0.43462,0.85305,0.94294,0.38851,0.431,0.18947,2.00852,1.38247,1.95967,3.31733e-05,3.31733e-05,3.31733e-05
